,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
6,1012,14775_1012_906818_0,906818,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.986790093,0.951078367,1.0,0.915337887,0.810905527,0.658972545,0.533377681,0.724691483,1.867878923,-8.581419701,0.454686275,0.9535408945821784,0.9344881683877082,0.9298378022354119,0.8583484608195038,0.7841991605271579,0.46099144131601566,0.17883537491689028,0.6505238791744861,0.7303216591937103,0.17883537491689028,0.5347776199879712,0.8404118404384384,1.5
7,1012,50895_1012_1240125_0,1240125,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.914714722,1.0,1.0,1.0,1.0,0.617499495,0.390265692,0.849494647,1.67920449,-130.9038889,0.390265699,0.8696343200970396,0.8556796705076559,0.8858661322319321,0.8603869889065123,0.8067861428254783,0.4792419624397759,0.17364826098530495,0.6330215496355758,0.7576882724456513,0.17364826098530492,0.3902657017774405,0.8481338481591593,0.8648648648873873
44,1012,12170_1012_1299080_0,1299080,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.897329868,1.0,0.948456345,0.718370478,0.239038853,0.039615497,0.778579607,1.034295274,-15.51489786,0.009887969,0.9564430855091555,0.9618935722669901,0.9921163510426148,0.9484820686031608,0.9004308069362734,0.5291720821953256,0.14696567019788676,0.7023006829550378,0.6231804025126368,0.1469656701978868,0.04106443395655086,0.8682968683188189,0.7790647791016017
1,1012,12480_1012_910921_0,910921,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.994711321,1.0,0.925024875,0.962178011,0.562538643,0.13970288,0.854683086,1.140780857,-23.59667176,0.108376312,0.9472919935802468,0.9569147424918283,0.9889516756693761,0.9410053494087331,0.8728756836608085,0.4996953248224152,0.11946045861649512,0.6892568606314412,0.7204191580836339,0.11946045861649511,0.13963957521076348,0.8571428571666666,0.8695838696056056
16,1012,41560_1012_1298144_0,1298144,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.880444309,0.938478385,0.962663467,0.841788655,0.885301564,0.590375118,0.16248132,0.912902294,0.983304072,-12.89091337,-0.084728039,0.8708568053975714,0.8762647253322444,0.9048479656099242,0.8750354254013866,0.8513458071952273,0.579020582746848,0.2712193177274922,0.6692399803250184,0.6872721098049213,0.27121931772749225,0.16178038097211384,0.8957528957702703,0.8884598884784785
0,1012,41735_1012_1287706_0,1287706,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.931107123,0.81259265,0.874580635,0.861518556,0.696262776,0.400522743,0.219110036,0.77634614,1.284891937,-10.69575947,0.134272718,0.9197062746687221,0.9355465414536193,0.9615860535791274,0.9254721805179074,0.8590495690091355,0.5529393886941159,0.28573596212407626,0.6941221378531675,0.6183422204403887,0.28573596212407626,0.21609337777905396,0.8837408837602603,0.8108108108423423
15,1012,13706_1012_907067_0,907067,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.872513993,0.815179418,1.0,0.921077579,0.965163343,0.643129529,0.135843177,0.85955626,1.260802107,-141.632783,0.13584317,0.9635716695993004,0.9616451096981398,0.9677240909173941,0.9214226224537256,0.8460791499281597,0.49030974069550615,0.17618527863406763,0.6830026450175002,0.6861817497500006,0.17618527863406766,0.13584317229751497,0.8532818533063063,0.8627198627427428
5,1012,15125_1012_910853_0,910853,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.96016579,0.930399961,1.0,1.0,0.863420358,0.369857757,0.28307752,0.765320194,1.434256595,-25.112571,0.281312601,0.93536519319919,0.9526860653701461,1.0014732423336037,0.9677434782068648,0.9129351079145627,0.5653054551137187,0.23984395637826994,0.7162967716517266,0.6850254810103993,0.2398439563782699,0.28405928607496284,0.8850278850470471,0.8108108108423424
11,1012,12607_1012_906865_0,906865,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.797744097,0.947505392,0.859037602,0.773917627,0.682030793,0.430161144,0.072835326,1.822456782,0.165375996,-4.355374367,-5.105207609,0.9375703659542123,0.9369527650154583,0.9530015466512749,0.903702737491094,0.839569032257625,0.4892912204036808,0.15807933045188793,0.670999052146932,0.5968302720476757,0.15807933045188796,0.0709629198943551,0.8528528528773774,0.8258258258548549
9,1012,42097_1012_753545_0,753545,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.884561392,0.91388813,1.0,0.767315791,0.544481662,0.356925513,0.767497078,1.532605473,-12.42323739,0.311220427,0.9246450793143111,0.9055085197614154,0.9337222306729087,0.8788428189228927,0.8151251621218272,0.4496605413462822,0.12136988320800057,0.6468724213662111,0.6924675676772187,0.1213698832080006,0.3625081348713306,0.8382668382937938,0.8743028743238238
