,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
54,1012,16463_1012_1299062_0,1299062,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.99147904,1.0,1.0,1.0,0.888006514,0.731085993,0.514080142,0.837843107,1.571211048,-10.0980711,0.366400818,0.9607003649065406,0.9236676229747602,0.9476406163985507,0.9151483639922109,0.797754644032888,0.3969679430930757,0.23848694520090663,0.6540365209987007,0.7680924822821034,0.2384869452009066,0.5153574386559121,0.8163878164184185,1.5
20,1012,14105_1012_1330964_0,1330964,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,1.0,0.774915285,0.381996579,0.094382288,0.812515857,1.008730252,-12.94820487,0.016123902,0.9261001054127735,0.9178503386326917,0.9327926119109335,0.8863057438818087,0.7415705475547815,0.2982714624298102,0.1585391676168746,0.6167795120433341,0.67183285133615,0.15853916761687462,0.09715991747596427,0.7906477906826826,0.8172458172762763
25,1012,53920_1012_1240182_0,1240182,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.998416116,1.0,1.0,1.0,0.704568164,0.374765723,0.263827611,0.723144709,1.351412594,-16.97392638,0.266728557,0.991213384144694,0.9482916386634623,0.9907793081382441,0.9379582639815215,0.7963498880863875,0.3828786985153205,0.22842620297164906,0.6658601186506028,0.670615019730616,0.22842620297164906,0.2757194229096244,0.8120978121291292,0.7867867868223223
6,1012,15550_1012_687983_0,687983,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.925812952,0.805479815,0.936877423,0.896270254,0.587616458,0.244112388,0.848119864,1.351259226,-19.30042775,0.194329105,0.9592852556545655,0.9502259131875257,0.9671566847603463,0.9147753432944442,0.7600047064577504,0.3391542917235646,0.20642056496367545,0.6446188640943809,0.697372774228878,0.20642056496367545,0.24406990830299147,0.7983697984034034,0.8820248820445447
7,1012,13723_1012_687985_0,687985,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.963058,0.845613138,1.0,0.922413098,0.65590542,0.398519214,0.235939606,0.73155319,1.34899236,-12.81976484,0.217439636,0.8668195182690841,0.9755458361157692,0.8981440084735817,0.9217297796027184,0.7249618777826378,0.22967646295928867,0.07899614660239762,0.6056830079947935,0.6376612673418396,0.07899614660239762,0.2481329147103069,0.7790647791016017,0.7927927928273274
52,1012,13550_1012_713880_0,713880,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.990388853,0.924277106,0.900965086,0.900965086,0.889288734,0.111733213,0.088421193,0.772264546,1.169319956,-43.72748058,0.088178881,0.9245058939173383,0.9543090822180167,0.9403819226861776,0.938917432032894,0.7673767356622996,0.3376477859753453,0.17280530086518242,0.642041991014183,0.6169079423197784,0.17280530086518242,0.08822621162597684,0.8000858001191192,0.7773487773858859
1,1012,20401_1012_910937_0,910937,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.956447227,0.909948616,1.0,0.816985286,0.866195186,0.185458237,0.144449987,0.771749741,1.259281149,-35.95466605,0.142974694,0.8813737334596787,0.9876144614768902,0.9328926654419503,0.9383932811425623,0.7364224069994402,0.26958682781240295,0.09055643449886253,0.6241945059682941,0.627039966939086,0.09055643449886254,0.14324743024951067,0.7859287859644644,0.7837837838198198
16,1012,15921_1012_753594_0,753594,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.905481254,1.0,1.0,0.974851357,0.723632597,0.051856576,0.051856576,0.728715287,1.081800616,-62.3965044,0.051691204,0.9501086049738268,0.9429555843838164,0.958780031771922,0.922104635367597,0.7899502014827916,0.39177031838981824,0.18736358326352676,0.6545290187812537,0.5870299167472636,0.18736358326352676,0.05169124852487405,0.8155298155605605,0.7305877306326326
0,1012,15127_1012_910692_0,910692,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.88940939,0.938184666,0.904625745,0.895502312,0.944277588,0.206523624,0.127283738,0.840061395,1.247842964,-142.3267835,0.127283734,0.9259453133129973,0.950711697200791,0.9374490455793021,0.9283251675311778,0.7525448948865663,0.2915698521650105,0.14750593019078373,0.6287106507501592,0.6690746051616817,0.14750593019078373,0.12728373412999214,0.7902187902537537,0.8429858430120121
15,1012,15410_1012_753589_0,753589,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.972790495,1.0,0.992138365,0.916861653,0.583560845,0.170776289,0.870379576,1.058612363,-15.25412076,0.050096088,0.9134927574218752,0.9212158339820649,0.9154937888911996,0.8895308862272305,0.7832205494171267,0.46695350543865244,0.34230989398043565,0.6582746028357569,0.7252394318610011,0.34230989398043565,0.1708481308910034,0.8369798370070071,0.8803088803288288
5,1012,17628_1012_906808_0,906808,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.907999553,1.0,1.0,0.876470485,0.922092588,0.123574689,0.056605462,0.791609489,1.110121816,-39.94368713,0.056227734,0.9622401845574089,0.9443318869549331,0.9780256166625327,0.9318598249519502,0.778114871372995,0.35977797360787633,0.22204948096333066,0.6543732420487511,0.634942545715312,0.22204948096333066,0.05647031989395972,0.8043758044084084,0.794937794971972
