,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
6,1012,14775_1012_906818_0,906818,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.986790093,0.951078367,1.0,0.915337887,0.810905527,0.658972545,0.533377681,0.724691483,1.867878923,-8.581419701,0.454686275,0.9535408959764269,0.9344881666291702,0.9298378036724462,0.858348459837922,0.7841991617472263,0.46099144018445093,0.17883537541089897,0.6505238790175073,0.7303216591937103,0.17883537541089903,0.5347776199879712,0.8404118404384384,1.5
7,1012,50895_1012_1240125_0,1240125,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.914714722,1.0,1.0,1.0,1.0,0.617499495,0.390265692,0.849494647,1.67920449,-130.9038889,0.390265699,0.8696343216539109,0.8556796688921745,0.8858661339222157,0.8603869881122354,0.8067861442036162,0.47924196100141225,0.1736482612798239,0.633021549532401,0.7576882724456513,0.1736482612798239,0.3902657017774405,0.8481338481591593,0.8648648648873873
44,1012,12170_1012_1299080_0,1299080,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.897329868,1.0,0.948456345,0.718370478,0.239038853,0.039615497,0.778579607,1.034295274,-15.51489786,0.009887969,0.9564430852974058,0.9618935703221224,0.9921163518168784,0.9484820680966997,0.900430807167258,0.5291720813400522,0.14696567136881258,0.7023006826521392,0.6231804025126368,0.14696567136881258,0.04106443395655086,0.8682968683188189,0.7790647791016017
1,1012,12480_1012_910921_0,910921,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.994711321,1.0,0.925024875,0.962178011,0.562538643,0.13970288,0.854683086,1.140780857,-23.59667176,0.108376312,0.9472919942045436,0.9569147401010725,0.9889516771744238,0.941005348771126,0.8728756846279933,0.4996953232437976,0.11946045986761211,0.6892568603947531,0.7204191580836339,0.11946045986761207,0.13963957521076348,0.8571428571666666,0.8695838696056056
16,1012,41560_1012_1298144_0,1298144,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.880444309,0.938478385,0.962663467,0.841788655,0.885301564,0.590375118,0.16248132,0.912902294,0.983304072,-12.89091337,-0.084728039,0.8708568057685989,0.8762647224463376,0.904847966505074,0.8750354238403044,0.8513458085028626,0.5790205814756593,0.27121931936187316,0.6692399798988299,0.6872721098049213,0.2712193193618731,0.16178038097211384,0.8957528957702703,0.8884598884784785
0,1012,41735_1012_1287706_0,1287706,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.931107123,0.81259265,0.874580635,0.861518556,0.696262776,0.400522743,0.219110036,0.77634614,1.284891937,-10.69575947,0.134272718,0.9197062753596511,0.9355465403553179,0.9615860545462316,0.9254721800777777,0.8590495698843106,0.5529393879108457,0.28573596222189335,0.6941221377711702,0.6183422204403887,0.28573596222189335,0.21609337777905396,0.8837408837602603,0.8108108108423423
15,1012,13706_1012_907067_0,907067,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.872513993,0.815179418,1.0,0.921077579,0.965163343,0.643129529,0.135843177,0.85955626,1.260802107,-141.632783,0.13584317,0.9635716703095641,0.9616451077476286,0.967724092210726,0.9214226216980199,0.8460791508941106,0.4903097395287956,0.17618527920119223,0.683002644739543,0.6861817497500006,0.17618527920119223,0.13584317229751497,0.8532818533063063,0.8627198627427428
5,1012,15125_1012_910853_0,910853,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.96016579,0.930399961,1.0,1.0,0.863420358,0.369857757,0.28307752,0.765320194,1.434256595,-25.112571,0.281312601,0.9353651947465457,0.9526860632084035,1.0014732437585938,0.9677434771481082,0.9129351096370926,0.5653054535031005,0.2398439572189129,0.7162967714305932,0.6850254810103993,0.2398439572189129,0.28405928607496284,0.8850278850470471,0.8108108108423424
11,1012,12607_1012_906865_0,906865,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.797744097,0.947505392,0.859037602,0.773917627,0.682030793,0.430161144,0.072835326,1.822456782,0.165375996,-4.355374367,-5.105207609,0.9375703664424083,0.9369527632693586,0.9530015479150411,0.9037027370196042,0.8395690328699994,0.48929121925481545,0.1580793312375998,0.6709990519002019,0.5968302720476757,0.15807933123759976,0.0709629198943551,0.8528528528773774,0.8258258258548549
9,1012,42097_1012_753545_0,753545,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.884561392,0.91388813,1.0,0.767315791,0.544481662,0.356925513,0.767497078,1.532605473,-12.42323739,0.311220427,0.9246450805782167,0.9055085191079367,0.9337222318187348,0.8788428186660504,0.8151251628422155,0.44966054054894034,0.12136988301927387,0.6468724214008108,0.6924675676772187,0.12136988301927383,0.3625081348713306,0.8382668382937938,0.8743028743238238
