,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
7,1012,12431_1012_1789883_0,1789883,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.917439611,1.0,0.953577894,0.744043893,0.162467019,0.083008157,0.75490279,1.1128914,-23.03788845,0.078267774,0.9364676182942063,0.9418624903521127,0.9419164751337473,0.8965152920018197,0.739239471337283,0.3317301677840975,0.05004916990132258,0.6233463268838568,0.6210655544533481,0.05004916990132259,0.0817837337737769,0.8000858001191192,0.764907764946947
38,1012,20299_1012_909757_0,909757,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.974165411,1.0,0.980591553,0.945366776,0.282998161,0.065421694,0.814396227,1.07463239,-28.775692,0.060628429,0.9274141808932197,0.9364968469202906,0.9629052787687257,0.945402446572851,0.8343669424637845,0.4215108923625993,0.12690191350265279,0.6639283590354071,0.6790299903455121,0.12690191350265279,0.06539554831476593,0.8292578292862863,0.8206778207077078
1,1012,18007_1012_1240123_0,1240123,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.818614215,0.868047801,0.843317083,0.881527156,0.877015471,0.119887884,0.074965983,0.801748125,1.238613521,-54.97170826,0.074947459,0.8953197015084434,0.9105423004544706,0.971072811236863,0.9767132169609314,0.888471917691597,0.5105294190948589,0.23531716049261453,0.6916144787099553,0.5993416864301235,0.2353171604926145,0.07496594924731528,0.8618618618848851,0.8035178035505506
16,1012,14427_1012_907794_0,907794,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,1.0,0.654814972,0.363603248,0.074709746,0.795257256,0.976178755,-10.90303814,-0.009722961,0.9039262822963501,0.9052150832709384,0.9472072622481027,0.9346453329818168,0.8746273638606862,0.5478235193094547,0.30193732584135735,0.689938384964687,0.6484418631640118,0.30193732584135735,0.08738679595829353,0.8820248820445445,0.7936507936851851
0,1012,12477_1012_910700_0,910700,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.882233525,0.936384432,1.0,0.972453562,1.0,0.345351131,0.10179008,0.849447671,1.158227145,-140.4700388,0.101790077,0.9332760481347131,0.9392285883230106,0.964499382456401,0.94907461926575,0.8623489890739051,0.4842933152450979,0.18658828439727781,0.6829767278308896,0.6982136265527463,0.18658828439727784,0.10179007765388377,0.8507078507327328,0.8515658515905906
15,1012,16570_1012_998189_0,998189,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.93535916,1.0,1.0,0.801655965,0.992079158,0.538319172,0.299315173,0.849011963,1.525474161,-120.2501025,0.299315167,0.9278650872987639,0.9303736642499073,0.9620673170573222,0.9355715516628009,0.8375905978782208,0.5072663599030863,0.2842012998747656,0.6847173995441012,0.7217664320797146,0.28420129987476567,0.2993151800258897,0.8610038610270271,0.8592878593113114
5,1012,12487_1012_910689_0,910689,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.942404958,0.920245699,0.955621019,1.0,1.0,0.885433469,0.511905863,0.863259806,2.184330236,-115.6666033,0.511905716,0.9377882680732806,0.9456524027364095,0.9781891411884454,0.9672843490983118,0.8867742989748262,0.5241981539807955,0.2620310870492826,0.7028101327938727,0.7716735644363751,0.26203108704928263,0.5119058512319926,0.8682968683188189,1.5
11,1012,39609_1012_907289_0,907289,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.967685887,1.0,0.951725565,0.999578726,0.563728467,0.042960397,0.858236907,1.05984077,-137.4170382,0.042960395,0.9403230331139283,0.9621290324355563,0.9986566524361664,0.9865615893979827,0.8641280855774685,0.4673767731207997,0.17258399305915972,0.693832346784727,0.7122102167827011,0.17258399305915978,0.04296039846461483,0.8442728442987987,0.8592878593113114
9,1012,15947_1012_905936_0,905936,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.942259569,0.979175991,1.0,0.995013082,0.844698678,0.222416915,0.113874906,0.775207433,1.1454932,-25.21740941,0.1110116,0.936726967125667,0.9481539576676358,1.0017325793164158,0.9980620746243356,0.9421547069444818,0.6037445849932778,0.3558898672126578,0.7367195898413528,0.6517517750164776,0.3558898672126578,0.11445039866589261,0.9116259116406407,0.788931788966967
8,1012,12693_1012_907291_0,907291,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.720379598,0.87343411,0.962235066,1.0,0.878128433,0.667812952,0.139848234,0.900690562,1.124524917,-19.88967243,0.019903153,0.9330958025080626,0.924920378194376,0.9282883740969902,0.880894328796362,0.7424891195759398,0.3727393034442448,0.14958949796193532,0.6288569953192498,0.689739638859926,0.14958949796193527,0.1399105731424897,0.8078078078398399,0.8983268983438439
