,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
0,1012,12490_1012_753555_0,753555,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.920937794,1.0,1.0,0.897183086,0.916206772,0.364171267,0.197639311,0.801762864,1.296011143,-27.24285444,0.192821152,0.931530177129331,0.9425425038678273,0.9644792976535255,0.9509289030780975,0.8646302219059869,0.5609486368749468,0.3075549346828562,0.7032221052616421,0.680864480964696,0.3075549346828562,0.19730901453285576,0.8893178893363365,0.8266838267127127
15,1012,13224_1012_1503362_0,1503362,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,1.0,0.881311992,0.332125818,0.125514515,0.798345356,1.123029226,-20.82480178,0.110893163,0.8880273911600506,0.9078300592467946,0.9293245870790519,0.9166499906234884,0.8118250640180904,0.40343268111273056,0.07554869722862328,0.6394854829735277,0.6829768072031306,0.07554869722862331,0.12564883284869852,0.824967824996997,0.8159588159894895
29,1012,17223_1012_946353_0,946353,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.995590774,0.909102432,1.0,0.963157646,1.0,0.707266519,0.382935238,0.854513244,1.68055951,-128.6854421,0.382935218,0.9321712237341078,0.954372097527461,0.9876995458815702,1.0064985659259469,1.0101727438438677,0.7525529822347705,0.4921861747175469,0.7780959938113159,0.7540944136093188,0.49218617471754694,0.38293522539821173,0.9957099957107106,0.8695838696056056
28,1012,16402_1012_753623_0,753623,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.89541504,0.819672754,1.0,0.949068577,0.557777457,0.134987583,0.081367063,0.715402779,1.196150771,-28.55062917,0.098794493,0.9268657079602052,0.9441397753979358,0.972584459463284,0.9774825074400801,0.9463754501433276,0.660589940803013,0.397122219817005,0.7407378716465608,0.568572011728453,0.397122219817005,0.09909030583466737,0.9425139425235235,0.7245817246276277
9,1012,13952_1012_753574_0,753574,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.955193506,1.0,0.96780953,1.0,0.884564882,0.639872068,0.165689013,0.955353595,0.816778837,-11.38952812,-0.237265606,0.90835441800235,0.9342026542279038,0.9631449985048972,0.9752282511437695,0.9377259098784523,0.6102580513835217,0.3071289609118779,0.7220817638290455,0.7266895377880975,0.3071289609118779,0.1660290797263045,0.9077649077802803,0.9013299013463463
8,1012,18019_1012_907319_0,907319,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.971703471,1.0,0.927420068,1.0,0.94699665,0.689565871,0.23657346,0.882596114,1.186256367,-18.55772448,0.136814509,0.9269158849955561,0.9462826876910904,0.9748276448480736,0.9783467923919104,0.9453096808463048,0.6663125518876567,0.4062208953307129,0.7428235718485963,0.7428965526093364,0.4062208953307129,0.23659994492304412,0.9476619476706707,0.9069069069224225
12,1012,14512_1012_753575_0,753575,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.860384121,0.855536267,1.0,0.913458026,0.763831023,0.66248057,0.53704234,0.701587251,2.386432271,-11.03449512,0.512947936,0.9394900786556957,0.9482711423398021,0.9710341611057091,0.9607622253197373,0.9049241088297011,0.6582908413774122,0.43392680461804023,0.7354155093858576,0.7036359124616598,0.43392680461804023,0.5470712500936654,0.9562419562492491,1.5
11,1012,11735_1012_1298222_0,1298222,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.929284204,0.87920929,0.894223903,1.0,0.816582893,0.430919584,0.235598596,0.790394612,1.381210515,-18.24396494,0.216449658,0.9387677708455635,0.9653541339426852,1.0001740144942073,1.0228693689072397,1.024534285958392,0.7337544585591664,0.44561572244246495,0.7806644372546695,0.6659844118169876,0.44561572244246495,0.2376496954445678,0.9729729729774775,0.8322608322887889
5,1012,13884_1012_907317_0,907317,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.914544551,0.932293474,1.0,1.0,0.657718095,0.520407234,0.135167551,0.911353728,0.852139871,-8.291224329,-0.195203163,0.9203064302116483,0.9393835451912274,0.9613786913822842,0.9497136827835463,0.8540153618129871,0.4800107536250052,0.17279114679338875,0.6793338638405781,0.6636718746551684,0.17279114679338875,0.14521159941045497,0.8489918490170172,0.8472758473013015
29,1021,28324_1021_1503371_1,1503371,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.928518813,0.987115598,1.0,0.960478163,0.915227959,0.712828034,1.072877437,1.069790977,-11.46906544,0.047672485,0.969647660842402,0.9865983966108508,0.9872048521501392,0.9979291345133007,1.0007007920616837,0.8303576674338564,0.6981656762783608,0.8068881480764996,0.814360988355644,0.6981656762783608,0.7128744433999749,1.5,1.5
