,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
57,1012,17638_1012_713869_0,713869,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.903774226,0.975031032,0.847280149,1.0,0.308151335,0.046668381,0.850093365,1.101710847,-142.0776899,0.046668379,0.9558899320391271,0.9477855737837816,0.9678433931434895,0.9499344828216407,0.8825253156597515,0.5860271007505267,0.2883335546113752,0.7113193703438743,0.6825638912193072,0.2883335546113752,0.046668379562635906,0.8983268983438438,0.8507078507327327
20,1012,17691_1012_687799_0,687799,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.90810595,1.0,1.0,0.892225193,0.402880863,0.283528587,0.779261264,1.423605588,-24.47625431,0.279506697,0.9565643623104374,0.943534346998653,0.9597137297617031,0.9292583746923835,0.857168045166353,0.5502511081892605,0.24352791009520303,0.6947457432494928,0.6965668219842966,0.24352791009520303,0.28398169911098087,0.8803088803288289,0.8258258258548548
25,1012,17329_1012_908475_0,908475,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.884367577,0.922673323,1.0,0.99919854,0.807799222,0.529435508,0.084088076,0.905125017,0.885466953,-11.80044258,-0.16750603,0.9240255210575707,0.9038583504695861,0.9214055020909306,0.8937299840793824,0.8345966661412936,0.5434898846634066,0.2421576530641163,0.6717794602769684,0.6813620183882563,0.24215765306411632,0.08572303845765103,0.8777348777552553,0.8635778636006007
6,1012,11871_1012_1503370_0,1503370,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.943193288,0.96157645,1.0,0.985478407,0.700558625,0.266842914,0.857830964,1.398865266,-142.1865534,0.2668429,0.9404298985266959,0.9251221270863526,0.9481960935930132,0.9289206870274045,0.8915044712985667,0.6470034031117202,0.36850128711144503,0.7167088461164908,0.7415199291331066,0.36850128711144503,0.26684290166319524,0.9347919348028029,0.8652938653163164
7,1012,41226_1012_1247873_0,1247873,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.72642426,0.913780882,1.0,0.902748598,0.99827203,0.888064513,0.586810133,0.865494316,2.969759941,-125.8065497,0.586810068,0.9348592214757148,0.9252960351109965,0.9428150250655236,0.9227120409449454,0.8688363819984941,0.6252885673663848,0.36739905080071456,0.7080342094615805,0.7492252797527845,0.36739905080071456,0.5868101127714064,0.92792792793994,1.5
55,1012,15787_1012_909721_0,909721,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.826109113,0.99571865,0.976352085,0.95211853,0.821267472,0.760708932,0.774072178,4.994623114,-29.04245628,0.759327738,0.9328337085924412,0.930042305504468,0.974842001868041,0.9906057764081624,0.9791359763541712,0.7168961001720953,0.4123857679419771,0.755795746175227,0.7882706078706568,0.41238576794197707,0.7607315901253993,0.9609609609674675,1.5
1,1012,39958_1012_906791_0,906791,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.939093689,0.991859866,0.933481078,0.969943957,0.860478957,0.550334485,0.243855393,0.840235266,1.211860082,-13.67378624,0.145023674,0.9694751944802871,0.952408452026982,0.9678875904618534,0.9380056473754299,0.8801176519393006,0.6177724063026053,0.34372661031683904,0.7190483248869166,0.7036522011786221,0.3437266103168391,0.24404481298287034,0.9193479193613613,0.8751608751816816
16,1012,11768_1012_753600_0,753600,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.904628286,0.768833132,0.962803011,0.924033393,0.970556935,0.772689796,0.664094269,0.842807561,3.880257158,-116.7012286,0.664094251,0.9124620942342927,0.8975361219406292,0.9319378866825394,0.9270971584443439,0.9079563587532209,0.6650633345608084,0.3816790013888838,0.7140948513184224,0.7526055585215623,0.3816790013888838,0.6640942617910278,0.9429429429524524,1.5
0,1012,14469_1012_905949_0,905949,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,1.0,0.711891992,0.27568833,0.043301639,0.782759852,0.995737425,-14.11702246,0.00439405,0.9086954793634817,0.9023752785915343,0.9262045236359269,0.9047153113607682,0.8349874753343003,0.5069925203707317,0.17581118769713822,0.6633826655231525,0.6428882505631122,0.17581118769713822,0.04890085606769101,0.8601458601691692,0.7842127842487487
15,1012,42013_1012_687794_0,687794,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.97766408,0.817556694,0.999905095,0.982084366,0.73310598,0.257343693,0.279584707,0.717028285,1.455650989,-131.8418089,0.268464188,0.940407702469581,0.924748652200231,0.9503595378800498,0.9337608545944573,0.8858487234153598,0.6013495041300607,0.30041272136418407,0.7056021607547679,0.6265113678532865,0.30041272136418407,0.26846418800000005,0.9060489060645646,0.7254397254854855
5,1012,39732_1012_905970_0,905970,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.875788395,0.989312188,0.996186964,1.0,1.0,0.751934441,0.593706606,0.849088459,2.609776,-162.7794725,0.593706608,0.9480733448265553,0.936403743876566,0.9672831214673312,0.9599341400671175,0.9316566866009275,0.685342901139907,0.4012322948052809,0.7396825729768508,0.7817593739543297,0.4012322948052809,0.5937066080214499,0.952380952388889,1.5
11,1012,13019_1012_905972_0,905972,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.920804629,0.927356149,1.0,0.884754118,0.979836912,0.576592567,0.399598622,0.846749866,1.809867363,-129.4599658,0.399598625,0.9074489395128277,0.9097226987925519,0.9598458981579071,0.9852732848556751,0.9713824977910148,0.6800594197055743,0.34719939986955595,0.7375822780030613,0.7339645817642309,0.34719939986955595,0.39959862741937374,0.9365079365185185,0.8631488631716717
9,1012,17905_1012_1290908_0,1290908,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.97983072,0.965698436,0.854946879,0.793716714,0.763087032,0.204832609,0.063538966,0.777782698,1.124154821,-18.3854257,0.037401304,0.9556248867798008,0.9353140093156265,0.9557831712772613,0.9267720328505724,0.8710722604120882,0.5941147946018188,0.3059196591471416,0.7049886479764408,0.6016176514723637,0.3059196591471416,0.053903125378190406,0.9043329043488489,0.7799227799594596
8,1012,15818_1012_1240145_0,1240145,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,0.986920403,0.856801433,0.551251816,0.255601882,0.837266893,1.154825889,-12.18760664,0.137438519,0.9582065244328567,0.9402507400723131,0.9535320789532404,0.9185488606466357,0.8405820810070868,0.5321618544642641,0.2258788074992344,0.6856791628135773,0.7188773452128071,0.2258788074992344,0.25617930193156485,0.8721578721791792,0.8760188760395394
