,DRUG_ID,SCAN_DRUGID_COSMICID_KEY,COSMIC_ID,FOLD_RANGE,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,param_1,param_2,param_3,param_4,norm_cell_1_MOGP,norm_cell_2_MOGP,norm_cell_3_MOGP,norm_cell_4_MOGP,norm_cell_5_MOGP,norm_cell_6_MOGP,norm_cell_7_MOGP,AUC_MOGP,AUC_s4,Emax_MOGP,Emax_s4,IC50_MOGP,IC50_s4
54,1012,16463_1012_1299062_0,1299062,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.99147904,1.0,1.0,1.0,0.888006514,0.731085993,0.514080142,0.837843107,1.571211048,-10.0980711,0.366400818,0.9156773159184626,0.9239082119107278,0.9514988271241273,0.9484273740330165,0.8714989596857481,0.4257164060840304,0.24149574706961996,0.672012779746713,0.7680924822821034,0.24149574706961996,0.5153574386559121,0.8292578292862863,1.5
20,1012,14105_1012_1330964_0,1330964,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,1.0,1.0,1.0,0.774915285,0.381996579,0.094382288,0.812515857,1.008730252,-12.94820487,0.016123902,0.9348226337704657,0.9424641676057728,0.9469709874278365,0.9287436862194844,0.7454965665650279,0.28991432031630726,0.14920891697302885,0.6280532689525361,0.67183285133615,0.14920891697302885,0.09715991747596427,0.7885027885380381,0.8172458172762763
25,1012,53920_1012_1240182_0,1240182,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.998416116,1.0,1.0,1.0,0.704568164,0.374765723,0.263827611,0.723144709,1.351412594,-16.97392638,0.266728557,0.943824916735255,0.9524007757794057,0.9641673194996933,0.9494964983284149,0.7884369688629387,0.3220750698510453,0.16253274594681066,0.6472640254168183,0.670615019730616,0.16253274594681066,0.2757194229096244,0.7996567996901902,0.7867867868223223
6,1012,15550_1012_687983_0,687983,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.925812952,0.805479815,0.936877423,0.896270254,0.587616458,0.244112388,0.848119864,1.351259226,-19.30042775,0.194329105,0.9438287668392302,0.9543055254065187,0.9694739886641391,0.9557084689298031,0.8084274136856595,0.3367910510916694,0.17413793094890417,0.6550067781954995,0.697372774228878,0.17413793094890415,0.24406990830299147,0.8039468039794795,0.8820248820445447
7,1012,13723_1012_687985_0,687985,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.963058,0.845613138,1.0,0.922413098,0.65590542,0.398519214,0.235939606,0.73155319,1.34899236,-12.81976484,0.217439636,0.9369652666312318,0.944914612492807,0.9360191827906726,0.9101621393743368,0.6486951537294372,0.12367848938034065,-0.015909646488339035,0.5750516641567516,0.6376612673418396,-0.01590964648833902,0.2481329147103069,0.7567567567972974,0.7927927928273274
52,1012,13550_1012_713880_0,713880,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.990388853,0.924277106,0.900965086,0.900965086,0.889288734,0.111733213,0.088421193,0.772264546,1.169319956,-43.72748058,0.088178881,0.9250629115143034,0.9329624058282961,0.9457357307249745,0.9338627779797978,0.7843567400235134,0.33629327944690734,0.17284356438980986,0.6406258870974373,0.6169079423197784,0.17284356438980986,0.08822621162597684,0.8018018018348348,0.7773487773858859
1,1012,20401_1012_910937_0,910937,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.956447227,0.909948616,1.0,0.816985286,0.866195186,0.185458237,0.144449987,0.771749741,1.259281149,-35.95466605,0.142974694,0.9214823147350542,0.9325594314487817,0.9381932213232148,0.9169053337093025,0.6946783790813691,0.1427103451080578,-0.028581138497109748,0.5818067364262116,0.627039966939086,-0.028581138497109776,0.14324743024951067,0.7670527670915915,0.7837837838198198
16,1012,15921_1012_753594_0,753594,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.905481254,1.0,1.0,0.974851357,0.723632597,0.051856576,0.051856576,0.728715287,1.081800616,-62.3965044,0.051691204,0.9532415389187989,0.9634973452047201,0.9835473687622313,0.9738940950684363,0.8293482310993927,0.3061581410395844,0.11228624246108243,0.6560128465085314,0.5870299167472636,0.11228624246108244,0.05169124852487405,0.8022308022637639,0.7305877306326326
0,1012,15127_1012_910692_0,910692,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,0.88940939,0.938184666,0.904625745,0.895502312,0.944277588,0.206523624,0.127283738,0.840061395,1.247842964,-142.3267835,0.127283734,0.9386240143785933,0.9461706740105241,0.9445319056332705,0.9234740396215713,0.7018864223652779,0.22932062119254049,0.09299615858050103,0.6088864752251999,0.6690746051616817,0.09299615858050105,0.12728373412999214,0.7747747748123124,0.8429858430120121
15,1012,15410_1012_753589_0,753589,1000,10,0,0.142857143,0.285714286,0.428571429,0.571428571,0.714285714,0.857142857,1,1,1.0,0.972790495,1.0,0.992138365,0.916861653,0.583560845,0.170776289,0.870379576,1.058612363,-15.25412076,0.050096088,0.934741294931585,0.9427388836848472,0.9624260498711066,0.9539037367152114,0.8352532195522353,0.3892542097952867,0.22866798915410946,0.6667071523119242,0.7252394318610011,0.22866798915410946,0.1708481308910034,0.8168168168473473,0.8803088803288288
