index,feature,specificity
0,DRUG_ID,others
1,SCAN_DRUGID_COSMICID_KEY,others
2,COSMIC_ID,others
3,FOLD_RANGE,others
4,MAX_CONC,others
5,fd_num_0,others
6,fd_num_1,others
7,fd_num_2,others
8,fd_num_3,others
9,fd_num_4,others
10,fd_num_5,others
11,fd_num_6,others
12,fd_num_7,others
13,norm_cells_0,others
14,norm_cells_1,others
15,norm_cells_2,others
16,norm_cells_3,others
17,norm_cells_4,others
18,norm_cells_5,others
19,norm_cells_6,others
20,norm_cells_7,others
21,param_1,others
22,param_2,others
23,param_3,others
24,param_4,others
25,ABCB1_mut,cell_line_mutation
26,ABL2_mut,cell_line_mutation
27,ACACA_mut,cell_line_mutation
28,ACVR1B_mut,cell_line_mutation
29,ACVR2A_mut,cell_line_mutation
30,ADCY1_mut,cell_line_mutation
31,AFF4_mut,cell_line_mutation
32,AHCTF1_mut,cell_line_mutation
33,AHNAK_mut,cell_line_mutation
34,AKAP9_mut,cell_line_mutation
36,ALK_mut,cell_line_mutation
37,AMOT_mut,cell_line_mutation
38,ANK3_mut,cell_line_mutation
39,APAF1_mut,cell_line_mutation
40,APC_mut,cell_line_mutation
41,AQR_mut,cell_line_mutation
42,ARAP3_mut,cell_line_mutation
43,ARFGAP3_mut,cell_line_mutation
44,ARFGEF1_mut,cell_line_mutation
45,ARFGEF2_mut,cell_line_mutation
46,ARHGAP26_mut,cell_line_mutation
47,ARHGAP29_mut,cell_line_mutation
48,ARHGEF6_mut,cell_line_mutation
49,ARID1A_mut,cell_line_mutation
50,ARID1B_mut,cell_line_mutation
51,ARID2_mut,cell_line_mutation
52,ARID4A_mut,cell_line_mutation
53,ARID4B_mut,cell_line_mutation
54,ARID5B_mut,cell_line_mutation
55,ASH1L_mut,cell_line_mutation
56,ASPM_mut,cell_line_mutation
57,ASXL1_mut,cell_line_mutation
58,ASXL2_mut,cell_line_mutation
59,ATM_mut,cell_line_mutation
60,ATR_mut,cell_line_mutation
61,ATRX_mut,cell_line_mutation
62,AXIN1_mut,cell_line_mutation
63,AXIN2_mut,cell_line_mutation
64,B2M_mut,cell_line_mutation
65,BAP1_mut,cell_line_mutation
66,BAZ2B_mut,cell_line_mutation
67,BCLAF1_mut,cell_line_mutation
68,BCOR_mut,cell_line_mutation
70,BLM_mut,cell_line_mutation
71,BMPR2_mut,cell_line_mutation
72,BNC2_mut,cell_line_mutation
73,BPTF_mut,cell_line_mutation
74,BRAF_mut,cell_line_mutation
75,BRCA1_mut,cell_line_mutation
76,BRCA2_mut,cell_line_mutation
77,BRWD1_mut,cell_line_mutation
78,C15orf55_mut,cell_line_mutation
79,CAD_mut,cell_line_mutation
80,CASP8_mut,cell_line_mutation
81,CCAR1_mut,cell_line_mutation
82,CCND1_mut,cell_line_mutation
83,CDC27_mut,cell_line_mutation
84,CDC73_mut,cell_line_mutation
85,CDH1_mut,cell_line_mutation
86,CDK12_mut,cell_line_mutation
89,CDKN2A_mut,cell_line_mutation
90,CEP290_mut,cell_line_mutation
91,CHD3_mut,cell_line_mutation
92,CHD4_mut,cell_line_mutation
93,CHD6_mut,cell_line_mutation
94,CHD8_mut,cell_line_mutation
95,CHD9_mut,cell_line_mutation
96,CHEK2_mut,cell_line_mutation
97,CIC_mut,cell_line_mutation
98,CLASP2_mut,cell_line_mutation
100,CLSPN_mut,cell_line_mutation
101,CNOT1_mut,cell_line_mutation
102,CNOT3_mut,cell_line_mutation
103,COL1A1_mut,cell_line_mutation
104,CREBBP_mut,cell_line_mutation
105,CSDE1_mut,cell_line_mutation
106,CTCF_mut,cell_line_mutation
107,CTNNB1_mut,cell_line_mutation
108,CTNND1_mut,cell_line_mutation
109,CUL2_mut,cell_line_mutation
110,CUL3_mut,cell_line_mutation
111,CUX1_mut,cell_line_mutation
112,CYLD_mut,cell_line_mutation
113,DDX3X_mut,cell_line_mutation
115,DHX15_mut,cell_line_mutation
116,DHX9_mut,cell_line_mutation
117,DICER1_mut,cell_line_mutation
118,DLG1_mut,cell_line_mutation
119,DNMT3A_mut,cell_line_mutation
120,EGFR_mut,cell_line_mutation
121,EIF4A2_mut,cell_line_mutation
122,EIF4G1_mut,cell_line_mutation
123,EIF4G3_mut,cell_line_mutation
124,ELF1_mut,cell_line_mutation
125,ELF3_mut,cell_line_mutation
126,EP300_mut,cell_line_mutation
127,EPHA2_mut,cell_line_mutation
128,EPHA4_mut,cell_line_mutation
129,ERBB2_mut,cell_line_mutation
130,ERBB2IP_mut,cell_line_mutation
131,ERBB3_mut,cell_line_mutation
136,EZH2_mut,cell_line_mutation
137,F8_mut,cell_line_mutation
138,FAF1_mut,cell_line_mutation
139,FAM123B_mut,cell_line_mutation
140,FAT1_mut,cell_line_mutation
141,FAT2_mut,cell_line_mutation
142,FBXW7_mut,cell_line_mutation
143,FGFR2_mut,cell_line_mutation
145,FLT3_mut,cell_line_mutation
146,FN1_mut,cell_line_mutation
147,FOXP1_mut,cell_line_mutation
148,FRG1B_mut,cell_line_mutation
149,FTSJD1_mut,cell_line_mutation
150,FXR1_mut,cell_line_mutation
151,G3BP2_mut,cell_line_mutation
152,GATA3_mut,cell_line_mutation
153,GNA11_mut,cell_line_mutation
154,GNAS_mut,cell_line_mutation
155,GPS2_mut,cell_line_mutation
156,HDAC9_mut,cell_line_mutation
157,HGF_mut,cell_line_mutation
158,HLA-A_mut,cell_line_mutation
159,HLA-B_mut,cell_line_mutation
160,HNF1A_mut,cell_line_mutation
161,HRAS_mut,cell_line_mutation
163,IDH1_mut,cell_line_mutation
165,INPP4A_mut,cell_line_mutation
166,INPPL1_mut,cell_line_mutation
167,IREB2_mut,cell_line_mutation
168,ITSN1_mut,cell_line_mutation
169,KALRN_mut,cell_line_mutation
170,KAT6B_mut,cell_line_mutation
171,KDM5C_mut,cell_line_mutation
172,KDM6A_mut,cell_line_mutation
173,KDR_mut,cell_line_mutation
174,KEAP1_mut,cell_line_mutation
175,KIT_mut,cell_line_mutation
176,KRAS_mut,cell_line_mutation
177,LAMA2_mut,cell_line_mutation
178,LARP4B_mut,cell_line_mutation
179,LIMA1_mut,cell_line_mutation
180,LNPEP_mut,cell_line_mutation
181,LPHN2_mut,cell_line_mutation
182,LRP6_mut,cell_line_mutation
183,LRPPRC_mut,cell_line_mutation
184,MACF1_mut,cell_line_mutation
185,MAGI2_mut,cell_line_mutation
186,MAP2K1_mut,cell_line_mutation
187,MAP2K4_mut,cell_line_mutation
188,MAP3K1_mut,cell_line_mutation
189,MAP3K4_mut,cell_line_mutation
190,MAP4K3_mut,cell_line_mutation
191,MAX_mut,cell_line_mutation
193,MCM8_mut,cell_line_mutation
194,MECOM_mut,cell_line_mutation
195,MED12_mut,cell_line_mutation
196,MED23_mut,cell_line_mutation
198,MEN1_mut,cell_line_mutation
199,MET_mut,cell_line_mutation
200,MGA_mut,cell_line_mutation
201,MKL1_mut,cell_line_mutation
202,MLH1_mut,cell_line_mutation
203,MLH3_mut,cell_line_mutation
204,MLL_mut,cell_line_mutation
206,MLL2_mut,cell_line_mutation
207,MLL3_mut,cell_line_mutation
208,MLLT4_mut,cell_line_mutation
209,MNDA_mut,cell_line_mutation
210,MSR1_mut,cell_line_mutation
211,MTOR_mut,cell_line_mutation
214,MYH11_mut,cell_line_mutation
215,MYH14_mut,cell_line_mutation
216,MYH9_mut,cell_line_mutation
217,NCOR1_mut,cell_line_mutation
218,NCOR2_mut,cell_line_mutation
219,NF1_mut,cell_line_mutation
220,NF2_mut,cell_line_mutation
221,NFE2L2_mut,cell_line_mutation
222,NOTCH1_mut,cell_line_mutation
223,NOTCH2_mut,cell_line_mutation
225,NR4A2_mut,cell_line_mutation
226,NRAS_mut,cell_line_mutation
227,NSD1_mut,cell_line_mutation
229,NTRK2_mut,cell_line_mutation
230,NUP93_mut,cell_line_mutation
231,NUP98_mut,cell_line_mutation
232,PABPC3_mut,cell_line_mutation
233,PBRM1_mut,cell_line_mutation
234,PCDH18_mut,cell_line_mutation
235,PCSK5_mut,cell_line_mutation
236,PGR_mut,cell_line_mutation
238,PHLPP1_mut,cell_line_mutation
239,PIK3C2B_mut,cell_line_mutation
240,PIK3CA_mut,cell_line_mutation
241,PIK3CB_mut,cell_line_mutation
242,PIK3R1_mut,cell_line_mutation
243,PLCB1_mut,cell_line_mutation
244,PLCG1_mut,cell_line_mutation
245,PLXNA1_mut,cell_line_mutation
246,PLXNB2_mut,cell_line_mutation
248,POLR2B_mut,cell_line_mutation
249,PPP2R1A_mut,cell_line_mutation
250,PSIP1_mut,cell_line_mutation
251,PTCH1_mut,cell_line_mutation
252,PTEN_mut,cell_line_mutation
253,PTPN11_mut,cell_line_mutation
254,PTPRU_mut,cell_line_mutation
255,RAC1_mut,cell_line_mutation
256,RAD21_mut,cell_line_mutation
257,RASA1_mut,cell_line_mutation
258,RASA2_mut,cell_line_mutation
259,RB1_mut,cell_line_mutation
